foreign_key_name	parent_schema_name	parent_table_name	parent_columns	referenced_schema_name	referenced_table_name	referenced_columns	update_referential_action_desc	delete_referential_action_desc	is_disabled	is_not_trusted
Disabled_SXAEDPreArrivalPlaceholderVisitXrefCV3ClientVisitFK	dbo	SXAEDPreArrivalPlaceholderVisitXref	ClientVisitGUID	dbo	CV3ClientVisit	GUID	NO_ACTION	NO_ACTION	1	1
SXAEDPreArrivalPlaceholderVisitXrefSXAEDPreArrivalPlaceholderFK	dbo	SXAEDPreArrivalPlaceholderVisitXref	PlaceholderID	dbo	SXAEDPreArrivalPlaceholder	PlaceholderID	NO_ACTION	NO_ACTION	0	0
SXAEDProviderFilterSXAEDLocationFK	dbo	SXAEDProviderFilter	EDUnitGUID	dbo	SXAEDLocation	LocationGUID	NO_ACTION	NO_ACTION	0	0
SXAEDProviderFilterTypeXREFSXAEDProviderFilterFK	dbo	SXAEDProviderFilterTypeXREF	ProviderFilterID	dbo	SXAEDProviderFilter	ProviderFilterID	NO_ACTION	NO_ACTION	0	0
SXAEDReviewedResultCV3BasicObservationFK	dbo	SXAEDReviewedResult	BasicObservationGUID	dbo	CV3BasicObservation	GUID	NO_ACTION	NO_ACTION	0	0
SXAEDReviewedResultCV3UserFK	dbo	SXAEDReviewedResult	UserGUID	dbo	CV3User	GUID	NO_ACTION	NO_ACTION	0	0
SXAEDRuleSXAEDColumnFK	dbo	SXAEDRule	ColumnID	dbo	SXAEDColumn	ColumnID	NO_ACTION	NO_ACTION	0	0
SXAEDRuleActionSXAEDRuleFK	dbo	SXAEDRuleAction	RuleID	dbo	SXAEDRule	RuleID	NO_ACTION	NO_ACTION	0	0
SXAEDRuleConditionSXAEDColumnFK	dbo	SXAEDRuleCondition	ConditionColumnID	dbo	SXAEDColumn	ColumnID	NO_ACTION	NO_ACTION	0	0
SXAEDRuleConditionSXAEDRuleFK	dbo	SXAEDRuleCondition	RuleID	dbo	SXAEDRule	RuleID	NO_ACTION	NO_ACTION	0	0
SXAEDShiftScheduleSXAEDLocationFK	dbo	SXAEDShiftSchedule	EDUnitGUID	dbo	SXAEDLocation	LocationGUID	NO_ACTION	NO_ACTION	0	0
SXAEDShiftScheduleSXAEDShiftFK	dbo	SXAEDShiftSchedule	ShiftID	dbo	SXAEDShift	ShiftID	NO_ACTION	NO_ACTION	0	0
SXAEDShiftScheduleXREFSXAEDColumnFK	dbo	SXAEDShiftScheduleXREF	ColumnID	dbo	SXAEDColumn	ColumnID	NO_ACTION	NO_ACTION	0	0
SXAEDShiftScheduleXREFSXAEDLocationFK	dbo	SXAEDShiftScheduleXREF	EDLocationGUID	dbo	SXAEDLocation	LocationGUID	NO_ACTION	NO_ACTION	0	0
SXAEDShiftScheduleXREFSXAEDShiftScheduleFK	dbo	SXAEDShiftScheduleXREF	ShiftScheduleID	dbo	SXAEDShiftSchedule	ShiftScheduleID	NO_ACTION	NO_ACTION	0	0
SXAEDShiftScheduleXREFSXAEDTeamFK	dbo	SXAEDShiftScheduleXREF	TeamID	dbo	SXAEDTeam	TeamID	NO_ACTION	NO_ACTION	0	0
SXAEDStatusSXAEDLocationFK	dbo	SXAEDStatus	EDUnitGUID	dbo	SXAEDLocation	LocationGUID	NO_ACTION	NO_ACTION	0	0
SXAEDTeamSXAEDLocationFK	dbo	SXAEDTeam	EDUnitGUID	dbo	SXAEDLocation	LocationGUID	NO_ACTION	NO_ACTION	0	0
SXAEDTeamProviderXREFSXAEDColumnFK	dbo	SXAEDTeamProviderXREF	ColumnID	dbo	SXAEDColumn	ColumnID	NO_ACTION	NO_ACTION	0	0
SXAEDTeamProviderXREFSXAEDTeamFK	dbo	SXAEDTeamProviderXREF	TeamID	dbo	SXAEDTeam	TeamID	NO_ACTION	NO_ACTION	0	0
SXAEDTimeMetricSXAEDCheckPointFK	dbo	SXAEDTimeMetric	StartingCheckPointId	dbo	SXAEDCheckPoint	CheckPointId	NO_ACTION	NO_ACTION	0	0
SXAEDTimeMetricSXAEDCheckPointFK01	dbo	SXAEDTimeMetric	EndingCheckPointId	dbo	SXAEDCheckPoint	CheckPointId	NO_ACTION	NO_ACTION	0	0
SXAEDTimeMetricSXAEDCheckPointFK02	dbo	SXAEDTimeMetric	AdmitCheckPointId	dbo	SXAEDCheckPoint	CheckPointId	NO_ACTION	NO_ACTION	0	0
